dates,RPI,UNRATE,PAYEMS,WPSFD49207,PCEPI,GS5,GS10,BAAFFM
722936,-4.19540329615344,5.6,4.98198320577572,6.31580405312988,12.3779954669166,9.24,9.25,0.23
722967,-0.625970716999547,5.7,4.25577303926516,6.28273686473335,9.83066885235235,8.85,8.91,0.09
722997,8.98348457777587,5.7,1.45071416531692,12.4676446189635,9.14167511236421,8.9,8.95,-0.18
723028,1.85180008332253,6,1.10349725531336,12.3394403467007,9.13620811423588,9.06,9.03,-0.59
723059,-0.156261903960342,5.9,0.358750355609061,19.7848489308249,10.5507022986359,9.41,9.33,-0.89
723089,-0.0591661961067302,6,2.04415783248209,13.5085854295614,9.73929317179749,10.63,10.3,-2.37
723120,3.74379684651132,5.9,1.21952577133726,14.8333161882892,8.29438911834632,10.93,10.65,-1.19
723150,2.89779526267964,6,1.31093284576096,11.7360348643675,10.0569188026508,10.42,10.39,-1.72
723181,1.57126437752311,6.3,1.69282341598063,17.3916087630797,12.4766422637501,10.74,10.8,-1.4
723212,-5.61165785441133,6.3,1.09641526096453,17.1431486969723,12.9517844980958,12.6,12.41,-0.56
723241,-6.39477606918817,6.3,1.46472634294312,12.6985311966443,14.6328649749098,13.47,12.75,-2.74
723272,-1.45830902430504,6.9,-1.91373918026514,9.7845620723195,6.27207610756777,11.84,11.47,-3.42
723302,-3.69209661660932,7.5,-5.6799669125887,5.55556547848965,9.3029445189222,9.95,10.18,2.19
723333,2.97444966731462,7.6,-4.24106224154812,9.66077673260024,7.53695794870044,9.21,9.78,3.24
723363,9.06155824253361,7.8,-3.48114348197726,19.0913117639738,9.26083322651436,9.53,10.25,3.62
723394,2.5942986533849,7.7,3.4545064120536,13.453055699059,9.99572441428995,10.84,11.1,3.54
723425,5.32244545598672,7.5,1.51737009436417,5.33927465945006,11.0254095726589,11.62,11.51,2.83
723455,10.4225593261638,7.5,3.67896781300772,9.28694519154725,9.59664407158538,11.86,11.75,1.42
723486,3.04030307661307,7.5,3.40328086110588,7.90343142342813,9.71688033726732,12.83,12.68,-1.21
723516,5.93595608160626,7.2,2.58902626711546,5.24018299960822,7.77298957147678,13.25,12.84,-3.76
723547,-3.72031526670327,7.5,1.18696980706829,13.001210598852,11.4554708629868,12.77,12.57,-4.05
723578,-3.22618736351785,7.4,0.948731231270017,10.3004924296702,12.0852474875104,13.41,13.19,-0.56
723606,3.92645906791316,7.4,1.3822232282692,14.0203400501829,8.3335559488031,13.41,13.12,0.64
723637,-2.08818856453448,7.2,0.960036874537451,12.6051579202514,5.22652448220366,13.99,13.68,-0.16
723667,3.66141799742721,7.5,0.17088493229096,3.75587161071316,5.392176949095,14.63,14.1,-2.57
723698,6.65181208229555,7.5,2.54724199242347,6.23378025252492,4.77874361902249,13.95,13.47,-3.3
723728,17.9011949683435,7.2,1.45501435154216,2.48447293716971,7.21252338238898,14.79,14.28,-2.87
723759,4.6330282756827,7.4,-0.471703269779766,1.24031018794,7.4606136657362,15.56,14.94,-1.48
723790,-1.66526581455955,7.6,-1.15383363529489,4.94846062063381,7.2566767962277,15.93,15.32,1.05
723820,-4.40544240503229,7.9,-1.27312611404875,4.92813834318468,5.43349609859156,15.41,15.15,2.03
