dates,RPI,DPCERA3M086SBEA,INDPRO,CUMFNS,UNRATE,PAYEMS,CES0600000007,CES0600000008,WPSFD49207,PCEPI,HOUST,SP500,EXUSUKx,GS5,GS10,BAAFFM
735325,5.58839854969122,-1.42691535586046,-2.06441211743531,74.1883,7.6,1.68808097040198,41.3,3.40104148305009,-7.35071211201941,-0.891287704067878,6.72743172485086,15.277330062063,18.2425940917776,0.71,1.76,4.44
735355,6.83539685128025,3.42175061798926,1.31219774708597,74.3659,7.5,1.95908325491061,41.3,0.565904278349372,4.90547438360096,0.784368126329227,6.8351845861473,51.69275548112,-1.09775229819553,0.84,1.93,4.62
735386,0.982056476962612,-0.0355929941147082,2.44238618450652,74.5022,7.5,1.59490710675882,41.2,1.13100856628829,0.611776714755052,2.61086380140299,6.73221070646721,-15.5184893992498,15.2778939276315,1.2,2.3,5.1
735416,-2.50544816319831,1.49399752512416,-5.12495415919538,73.7802,7.3,0.985843230096606,41.2,-0.565371035193607,-1.2238654808943,1.48091855479606,6.77992190747225,36.4395517431774,-24.570498443319,1.4,2.58,5.23
735447,2.15544191748407,1.64598520934476,7.89709449274127,74.4295,7.2,2.12736398907509,41.3,1.13047582548109,6.10688340896495,1.79833805729075,6.82110747225646,1.01354696525213,25.4995906892281,1.52,2.74,5.34
735478,4.50537884711082,3.48581548749571,6.16434998604483,74.4974,7.2,1.64129295672311,41.3,0.564838796025668,-3.04955691440725,0.496434347729036,6.74523634948436,12.210062272095,29.0552582028806,1.6,2.81,5.39
735508,-2.60139361363088,3.61689136962475,-2.10353951789735,74.5401,7.2,1.97184685875911,41.2,2.25670024195441,2.44026520291669,1.96009017484577,6.82979373751242,23.146996137849,15.9837275400751,1.37,2.62,5.22
735539,4.4397471935504,5.30543242061903,3.51513337170033,74.4984,6.9,2.3095099421667,41.4,2.81492036186304,3.65111843531629,1.81553852370406,7.00306545878646,43.5101050104901,0.149077582650348,1.37,2.72,5.3
735569,4.34812189006522,0.80784037472057,3.64098628602285,74.4716,6.7,0.602889952502039,41.1,2.80833266484848,4.85094142148803,2.35374959001895,6.90975328164481,16.1993037293723,20.9099278172508,1.58,2.9,5.29
735600,6.28803079221001,-3.71588092352582,-4.9988414558495,73.6194,6.6,1.5277118034895,41,1.68185031034636,9.04299682644414,2.22005848392612,6.78897174299217,9.63934948978391,6.35559882170709,1.65,2.86,5.12
